name	country	lat	lon	timezone
Berazategui	AR	-34.76531	-58.21278	America/Argentina/Buenos_Aires
Benito Juárez	AR	-37.67188	-59.80653	America/Argentina/Buenos_Aires
Bella Vista	AR	-34.5651	-58.69034	America/Argentina/Buenos_Aires
Belgrano	AR	-34.5627	-58.45829	America/Argentina/Buenos_Aires
Barranqueras	AR	-27.48132	-58.93925	America/Argentina/Cordoba
Barracas	AR	-34.64966	-58.38341	America/Argentina/Buenos_Aires
Baradero	AR	-33.81199	-59.50467	America/Argentina/Buenos_Aires
Banfield	AR	-34.74563	-58.39365	America/Argentina/Buenos_Aires
Balcarce	AR	-37.84638	-58.25549	America/Argentina/Buenos_Aires
Azul	AR	-36.77803	-59.85848	America/Argentina/Buenos_Aires
Ayacucho	AR	-37.15276	-58.48838	America/Argentina/Buenos_Aires
Avellaneda	AR	-29.11761	-59.65834	America/Argentina/Buenos_Aires
Apóstoles	AR	-27.91421	-55.75355	America/Argentina/Cordoba
Zapala	AR	-38.90056	-70.06674	America/Argentina/Salta
Yerba Buena	AR	-26.81298	-65.29543	America/Argentina/Tucuman
Villa Regina	AR	-39.09631	-67.08374	America/Argentina/Salta
Villa Paula de Sarmiento	AR	-31.4933	-68.53838	America/Argentina/San_Juan
Villa Nueva	AR	-32.43289	-63.24811	America/Argentina/Cordoba
Villa María	AR	-32.40751	-63.24016	America/Argentina/Cordoba
